id,filename,yes,homeowner,rep_share,iBlackShare,iLatinoShare,iBAshare,logpop,logincome_revised,iLogTaxPerCap,IDcity,year
86,1997-Alameda-Livermore-G-Impartial.txt,79.9,0.6938,0.0225,0.0149,0.1301,0.3029,4.8241,4.821,2.5467,230,1997
89,1997-Alameda-Newark-I-Impartial.txt,86,0.7148,-0.1331,0.0393,0.2689,0.2327,4.6003,4.7823,2.5384,285,1997
90,2001-Alameda-Newark-F-Impartial.txt,62.1,0.7063,-0.1795,0.0392,0.2926,0.246,4.6323,4.8527,2.7159,285,2001
92,2010-Alameda-Newark-U-Impartial.txt,58.7,0.7205,-0.2191,0.0448,0.3522,0.2828,4.6291,4.9222,2.7602,285,2010
96,1996-Alameda-Oakland-I-Impartial.txt,62.7,0.4159,-0.3097,0.3818,0.1869,0.2941,5.5798,4.5598,2.6311,292,1996
97,1997-Alameda-Oakland-M-Impartial.txt,70.2,0.4157,-0.3283,0.3741,0.1949,0.2978,5.585,4.5727,2.6544,292,1997
98,1997-Alameda-Oakland-N-Impartial.txt,68.1,0.4157,-0.3283,0.3741,0.1949,0.2978,5.585,4.5727,2.6544,292,1997
99,1998-Alameda-Oakland-D-Impartial.txt,73.2,0.4154,-0.3469,0.3663,0.2029,0.3016,5.5932,4.5925,2.6618,292,1998
100,1998-Alameda-Oakland-Z-Impartial.txt,30.9,0.4154,-0.3469,0.3663,0.2029,0.3016,5.5932,4.5925,2.6618,292,1998
101,2002-Alameda-Oakland-GG-Impartial.txt,43.7,0.4151,-0.3988,0.3352,0.2259,0.3198,5.6013,4.6559,2.7992,292,2002
102,2002-Alameda-Oakland-HH-Impartial.txt,33.1,0.4151,-0.3988,0.3352,0.2259,0.3198,5.6013,4.6559,2.7992,292,2002
103,2002-Alameda-Oakland-II-Impartial.txt,43.4,0.4151,-0.3988,0.3352,0.2259,0.3198,5.6013,4.6559,2.7992,292,2002
105,2004-Alameda-Oakland-O-Impartial.txt,61.2,0.4196,-0.4136,0.3196,0.2328,0.3305,5.5965,4.7096,2.8235,292,2004
106,2004-Alameda-Oakland-Q-Impartial.txt,77.2,0.4196,-0.4136,0.3196,0.2328,0.3305,5.5965,4.7096,2.8235,292,2004
107,2004-Alameda-Oakland-R-Impartial.txt,65.9,0.4196,-0.4136,0.3196,0.2328,0.3305,5.5965,4.7096,2.8235,292,2004
108,2004-Alameda-Oakland-Y-Impartial.txt,69.6,0.4196,-0.4136,0.3196,0.2328,0.3305,5.5965,4.7096,2.8235,292,2004
110,2008-Alameda-Oakland-J-Impartial.txt,79.6,0.4263,-0.3869,0.2885,0.2466,0.352,5.5883,4.7785,2.9189,292,2008
111,2008-Alameda-Oakland-NN-Impartial.txt,54.4,0.4263,-0.3869,0.2885,0.2466,0.352,5.5883,4.7785,2.9189,292,2008
112,2009-Alameda-Oakland-C-Impartial.txt,76.8,0.4227,-0.3931,0.2807,0.2501,0.3573,5.591,4.7426,2.9041,292,2009
